state_code,area_code,areatype_code,area_name
15,0027980,M,"Kahului-Wailuku-Lahaina, HI"
15,0046520,M,"Urban Honolulu, HI"
15,1500000,S,Hawaii
15,1500001,M,Hawaii / Kauai nonmetropolitan area
16,0014260,M,"Boise City, ID"
16,0017660,M,"Coeur d'Alene, ID"
16,0026820,M,"Idaho Falls, ID"
16,0030300,M,"Lewiston, ID-WA"
16,0038540,M,"Pocatello, ID"
16,0046300,M,"Twin Falls, ID"
16,1600000,S,Idaho
16,1600006,M,Northwestern Idaho nonmetropolitan area
16,1600007,M,Southeast-Central Idaho nonmetropolitan area
17,0014010,M,"Bloomington, IL"
17,0016060,M,"Carbondale-Marion, IL"
17,0016580,M,"Champaign-Urbana, IL"
17,0016980,M,"Chicago-Naperville-Elgin, IL-IN-WI"
17,0019180,M,"Danville, IL"
17,0019500,M,"Decatur, IL"
17,0028100,M,"Kankakee, IL"
17,0037900,M,"Peoria, IL"
17,0040420,M,"Rockford, IL"
17,0044100,M,"Springfield, IL"
17,1700000,S,Illinois
17,1700001,M,Northwest Illinois nonmetropolitan area
17,1700002,M,West Central Illinois nonmetropolitan area
17,1700003,M,East Central Illinois nonmetropolitan area
17,1700004,M,South Illinois nonmetropolitan area
18,0014020,M,"Bloomington, IN"
18,0018020,M,"Columbus, IN"
18,0021140,M,"Elkhart-Goshen, IN"
18,0021780,M,"Evansville, IN-KY"
18,0023060,M,"Fort Wayne, IN"
18,0026900,M,"Indianapolis-Carmel-Anderson, IN"
18,0029020,M,"Kokomo, IN"
18,0029200,M,"Lafayette-West Lafayette, IN"
18,0033140,M,"Michigan City-La Porte, IN"
18,0034620,M,"Muncie, IN"
18,0043780,M,"South Bend-Mishawaka, IN-MI"
18,0045460,M,"Terre Haute, IN"
18,1800000,S,Indiana
18,1800001,M,Northern Indiana nonmetropolitan area
18,1800002,M,Central Indiana nonmetropolitan area
18,1800003,M,Southern Indiana nonmetropolitan area
19,0011180,M,"Ames, IA"
19,0016300,M,"Cedar Rapids, IA"
19,0019340,M,"Davenport-Moline-Rock Island, IA-IL"
19,0019780,M,"Des Moines-West Des Moines, IA"
19,0020220,M,"Dubuque, IA"
19,0026980,M,"Iowa City, IA"
19,0043580,M,"Sioux City, IA-NE-SD"
19,0047940,M,"Waterloo-Cedar Falls, IA"
19,1900000,S,Iowa
19,1900001,M,Northeast Iowa nonmetropolitan area
19,1900002,M,Northwest Iowa nonmetropolitan area
19,1900003,M,Southwest Iowa nonmetropolitan area
19,1900004,M,Southeast Iowa nonmetropolitan area
20,0029940,M,"Lawrence, KS"
20,0031740,M,"Manhattan, KS"
20,0045820,M,"Topeka, KS"
20,0048620,M,"Wichita, KS"
20,2000000,S,Kansas
20,2000006,M,Kansas nonmetropolitan area
21,0014540,M,"Bowling Green, KY"
21,0021060,M,"Elizabethtown-Fort Knox, KY"
21,0030460,M,"Lexington-Fayette, KY"
21,0031140,M,"Louisville/Jefferson County, KY-IN"
21,0036980,M,"Owensboro, KY"
21,2100000,S,Kentucky
21,2100001,M,West Kentucky nonmetropolitan area
21,2100002,M,South Central Kentucky nonmetropolitan area
21,2100003,M,Central Kentucky nonmetropolitan area
21,2100004,M,East Kentucky nonmetropolitan area
22,0010780,M,"Alexandria, LA"
22,0012940,M,"Baton Rouge, LA"
22,0025220,M,"Hammond, LA"
22,0026380,M,"Houma-Thibodaux, LA"
22,0029180,M,"Lafayette, LA"
22,0029340,M,"Lake Charles, LA"
22,0033740,M,"Monroe, LA"
22,0035380,M,"New Orleans-Metairie, LA"
22,0043340,M,"Shreveport-Bossier City, LA"
22,2200000,S,Louisiana
22,2200002,M,Central Louisiana nonmetropolitan area
22,2200003,M,Northeast Louisiana nonmetropolitan area
22,2200006,M,Southwest Louisiana nonmetropolitan area
23,0070750,M,"Bangor, ME"
23,0074650,M,"Lewiston-Auburn, ME"
23,0076750,M,"Portland-South Portland, ME"
23,2300000,S,Maine
23,2300001,M,Northeast Maine nonmetropolitan area
23,2300002,M,Southwest Maine nonmetropolitan area
24,0012580,M,"Baltimore-Columbia-Towson, MD"
24,0015680,M,"California-Lexington Park, MD"
24,0019060,M,"Cumberland, MD-WV"
24,0025180,M,"Hagerstown-Martinsburg, MD-WV"
24,0041540,M,"Salisbury, MD-DE"
24,2400000,S,Maryland
24,2400006,M,Maryland nonmetropolitan area
25,0070900,M,"Barnstable Town, MA"
25,0071650,M,"Boston-Cambridge-Nashua, MA-NH"
25,0074500,M,"Leominster-Gardner, MA"
25,0075550,M,"New Bedford, MA"
25,0076600,M,"Pittsfield, MA"
25,0078100,M,"Springfield, MA-CT"
25,0079600,M,"Worcester, MA-CT"
25,2500000,S,Massachusetts
25,2500006,M,Massachusetts nonmetropolitan area
26,0011460,M,"Ann Arbor, MI"
26,0012980,M,"Battle Creek, MI"
26,0013020,M,"Bay City, MI"
26,0019820,M,"Detroit-Warren-Dearborn, MI"
26,0022420,M,"Flint, MI"
26,0024340,M,"Grand Rapids-Wyoming, MI"
26,0027100,M,"Jackson, MI"
26,0028020,M,"Kalamazoo-Portage, MI"
26,0029620,M,"Lansing-East Lansing, MI"
26,0033220,M,"Midland, MI"
26,0033780,M,"Monroe, MI"
26,0034740,M,"Muskegon, MI"
26,0035660,M,"Niles-Benton Harbor, MI"
26,0040980,M,"Saginaw, MI"
26,2600000,S,Michigan
26,2600001,M,Upper Peninsula of Michigan nonmetropolitan area
26,2600002,M,Northeast Lower Peninsula of Michigan nonmetropolitan area
